File Description,File Path
Target Zero Brand Guidelines (PDF),/wp-content/uploads/2024/10/fdot_targetzero_brandguidelines_20221006.pdf
Download Logo Files (ZIP),/wp-content/uploads/2024/10/logo-package-3-4-22.zip
Download Templates (ZIP),/wp-content/uploads/2024/10/templates-and-resources-3-4-22.zip
Target Zero Fact Sheet (PDF),/wp-content/uploads/2024/10/target-zero-florida.pdf
Download Engagement Item Files (ZIP),/wp-content/uploads/2024/10/tz_engagementitems_052023.zip
Target Zero Shirt Ordering Guidelines (PDF),/wp-content/uploads/2024/10/tz-ordering-resource-shirt_06042024.pdf
Target Zero Shirt Vector Files (ZIP),/wp-content/uploads/2024/10/tz_tshirt_vendor_vector_files.zip
August 2024 Partner Update,/wp-content/uploads/2024/10/august-2024-target-zero-partner-update.pdf
April 2024 Partner Update,/wp-content/uploads/2024/10/april-2024-target-zero-partner-update.pdf
January 2024 Partner Update,/wp-content/uploads/2024/10/january-2024-target-zero-partner-update.pdf
December 2023 Partner Update,/wp-content/uploads/2024/10/december-2023-target-zero-partner-update.pdf
September 2023 Partner Update,/wp-content/uploads/2024/10/september-2023-target-zero-partner-update.pdf
July 2023 Partner Presentation,/wp-content/uploads/2024/10/july-2023-target-zero-partner-update.pdf
May 2023 Partner Presentation,/wp-content/uploads/2024/10/may-2023-target-zero-partner-update.pdf
April 2023 Partner Presentation,/wp-content/uploads/2024/10/april-2023-target-zero-partner-update.pdf
March 2023 Partner Presentation,/wp-content/uploads/2024/10/march-2023-target-zero-partner-update.pdf
February 2023 Partner Presentation,/wp-content/uploads/2024/10/february-2023-target-zero-partner-update.pdf
January 2023 Partner Presentation,/wp-content/uploads/2024/10/january-2023-target-zero-partner-update.pdf
November 2022 Partner Presentation,/wp-content/uploads/2024/10/november-2022-target-zero-partner-update.pdf
October 2022 Partner Presentation,/wp-content/uploads/2024/10/october-2022-target-zero-partner-update.pdf
September 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_september-2022-partner-meeting.pdf
August 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_august-2022-partner-meeting.pdf
July 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_july-2022-partner-meeting.pdf
June 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_june-2022-partner-meeting.pdf
May 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_may-2022-partner-meeting.pdf
April 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_2022-april-partner-meeting-presentation.pdf
March 2022 Partner Presentation,/wp-content/uploads/2024/10/march-2022-partner-presentation.pdf
February 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_february-2022-partner-meeting.pdf
January 2022 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_january-2022-partner-meeting-presentation.pdf
December 2021 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_december-2021-partner-meeting-presentation.pdf
November 2021 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_november-2021-partner-meeting-presentation8a9898b0775a4ccdbdd368da2860cb14.pdf
October 2021 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_october-2021-partner-meeting-presentation.pdf
June 2021 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_june-2021-partner-meeting-presentation.pdf
May 2021 Partner Presentation,/wp-content/uploads/2024/10/fdot_target-zero_may-2021-partner-meeting-presentation.pdf
